"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac"
"693","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","99","9","setsize","10S3A","sports","1","8","0","1","1"
"723","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","100","10","setsize","10S3A","sports","1","9","2","1","1"
"507","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","101","10","setsize","10S3A","sports","1","10","1","1","1"
"524","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","102","10","setsize","10S3A","sports","1","11","0","1","1"
"1283","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","103","10","setsize","10S3A","sports","1","0","1","0","1"
"588","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","104","10","setsize","10S3A","sports","1","1","1","1","1"
"556","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","105","10","setsize","10S3A","sports","1","2","2","1","1"
"591","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","106","10","setsize","10S3A","sports","1","3","2","1","1"
"683","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","107","10","setsize","10S3A","sports","1","4","0","1","1"
"558","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","108","10","setsize","10S3A","sports","1","5","0","1","1"
"2101","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","109","10","setsize","10S3A","sports","1","0","2","0","1"
"456","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","110","11","setsize","10S3A","sports","1","1","2","1","1"
"566","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","111","11","setsize","10S3A","sports","1","2","1","1","1"
"518","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","112","11","setsize","10S3A","sports","1","3","1","1","1"
"522","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","113","11","setsize","10S3A","sports","1","4","0","1","1"
"682","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","114","11","setsize","10S3A","sports","1","5","2","1","1"
"494","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","115","11","setsize","10S3A","sports","1","6","1","1","1"
"554","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","116","11","setsize","10S3A","sports","1","7","0","1","1"
"956","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","117","11","setsize","10S3A","sports","1","8","2","1","1"
"568","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","118","11","setsize","10S3A","sports","1","9","0","1","1"
"800","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","119","11","setsize","10S3A","sports","1","10","2","1","1"
"593","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","120","12","setsize","10S3A","sports","1","11","2","1","1"
"738","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","121","12","setsize","10S3A","sports","1","12","1","1","1"
"688","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","122","12","setsize","10S3A","sports","1","13","1","1","1"
"500","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","123","12","setsize","10S3A","sports","1","14","1","1","1"
"1165","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","124","12","setsize","10S3A","sports","1","15","2","1","1"
"546","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","125","12","setsize","10S3A","sports","1","16","0","1","1"
"550","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","126","12","setsize","10S3A","sports","1","17","0","1","1"
"570","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","127","12","setsize","10S3A","sports","1","18","2","1","1"
"481","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","128","12","setsize","10S3A","sports","1","19","0","1","1"
"535","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","129","12","setsize","10S3A","sports","1","20","2","1","1"
"520","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","130","13","setsize","10S3A","sports","1","21","2","1","1"
"586","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","131","13","setsize","10S3A","sports","1","22","0","1","1"
"642","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","132","13","setsize","10S3A","sports","1","23","2","1","1"
"579","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","133","13","setsize","10S3A","sports","1","24","2","1","1"
"714","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","134","13","setsize","10S3A","sports","1","25","1","1","1"
"689","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","135","13","setsize","10S3A","sports","1","26","1","1","1"
