"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"938","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","17","2","setsizechunk","6S","furniture","2","1","2","1","3","",""
"1301","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","18","3","setsizechunk","6S","furniture","2","2","0","1","3","",""
"2167","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","19","3","setsizechunk","6S","furniture","2","3","0","1","3","",""
"849","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","20","3","setsizechunk","6S","furniture","2","4","1","1","3","",""
"492","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","21","3","setsizechunk","6S","furniture","2","5","2","1","3","",""
"1734","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","22","3","setsizechunk","6S","furniture","2","0","2","0","3","",""
"1726","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","23","3","setsizechunk","6S","furniture","2","0","1","0","3","",""
"1617","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","24","4","setsizechunk","6S","furniture","2","1","0","1","3","",""
"1265","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","25","4","setsizechunk","6S","furniture","2","2","0","1","3","",""
"616","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","26","4","setsizechunk","6S","furniture","2","3","2","1","3","",""
"2406","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","27","4","setsizechunk","6S","furniture","2","0","0","0","3","",""
"1277","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","28","4","setsizechunk","6S","furniture","2","0","1","0","3","",""
"787","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","29","4","setsizechunk","6S","furniture","2","1","1","1","3","",""
"605","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","30","5","setsizechunk","6S","furniture","2","2","1","1","3","",""
"2030","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","31","5","setsizechunk","6S","furniture","2","3","0","1","3","",""
"636","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","32","5","setsizechunk","6S","furniture","2","4","2","1","3","",""
"1222","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","33","5","setsizechunk","6S","furniture","2","5","2","1","3","",""
"851","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","34","5","setsizechunk","6S","furniture","2","6","1","1","3","",""
"1153","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","35","5","setsizechunk","6S","furniture","2","7","0","1","3","",""
"923","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","36","6","setsizechunk","6S","furniture","2","8","2","1","3","",""
"2276","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","37","6","setsizechunk","6S","furniture","2","9","0","1","3","",""
"597","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","38","6","setsizechunk","6S","furniture","2","10","0","1","3","",""
"1516","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","39","6","setsizechunk","6S","furniture","2","11","2","1","3","",""
"796","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","40","6","setsizechunk","6S","furniture","2","12","1","1","3","",""
"1353","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","41","6","setsizechunk","6S","furniture","2","13","1","1","3","",""
"1271","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","42","7","setsizechunk","6S","furniture","2","14","2","1","3","",""
"735","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","43","7","setsizechunk","6S","furniture","2","15","1","1","3","",""
"625","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","44","7","setsizechunk","6S","furniture","2","16","2","1","3","",""
"782","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","45","7","setsizechunk","6S","furniture","2","17","1","1","3","",""
"840","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","46","7","setsizechunk","6S","furniture","2","18","0","1","3","",""
"1317","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","47","7","setsizechunk","6S","furniture","2","19","0","1","3","",""
"720","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","48","8","setsizechunk","6S","furniture","2","20","1","1","3","",""
"840","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","49","8","setsizechunk","6S","furniture","2","21","0","1","3","",""
"1373","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","50","8","setsizechunk","6S","furniture","2","22","0","1","3","",""
