"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"768","null","learn","18:12:06","3","3","3","learn","1","1","[0, 1, 2]","68","11","setsizechunk","6S","animals","1","3","1","1","3","",""
"734","null","learn","18:12:06","5","5","5","learn","2","2","[0, 1, 2]","69","11","setsizechunk","6S","animals","1","4","2","1","3","",""
"775","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","70","11","setsizechunk","6S","animals","1","5","0","1","3","",""
"1356","null","learn","18:12:06","4","4","4","learn","2","2","[0, 1, 2]","71","11","setsizechunk","6S","animals","1","6","2","1","3","",""
"728","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","72","12","setsizechunk","6S","animals","1","7","1","1","3","",""
"520","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","73","12","setsizechunk","6S","animals","1","8","0","1","3","",""
"838","null","learn","18:12:06","5","5","5","learn","2","2","[0, 1, 2]","74","12","setsizechunk","6S","animals","1","9","2","1","3","",""
"802","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","75","12","setsizechunk","6S","animals","1","10","0","1","3","",""
"1132","null","learn","18:12:06","4","4","4","learn","2","2","[0, 1, 2]","76","12","setsizechunk","6S","animals","1","11","2","1","3","",""
"657","null","learn","18:12:06","3","3","3","learn","1","1","[0, 1, 2]","77","12","setsizechunk","6S","animals","1","12","1","1","3","",""
"797","null","learn","18:12:06","5","5","5","learn","2","2","[0, 1, 2]","78","13","setsizechunk","6S","animals","1","13","2","1","3","",""
"774","null","learn","18:12:06","4","4","4","learn","2","2","[0, 1, 2]","79","13","setsizechunk","6S","animals","1","0","0","0","3","",""
"574","null","learn","18:12:06","3","3","3","learn","1","1","[0, 1, 2]","80","13","setsizechunk","6S","animals","1","1","1","1","3","",""
"694","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","81","13","setsizechunk","6S","animals","1","2","0","1","3","",""
